usuario,visitas,taza_rebote,tiempo_de_visita,actividad_ocupacional,pais
nqgkqa20,198,33,187,Empresario,NLD
gelxj88,60,33,172,Empresario,BIH
xbeybazn82,218,25,169,Profesional,SWE
orhs03,106,46,174,Empresario,ERI
lzqrgmgu,213,43,23,Empresario,BDI
fscmary,113,26,164,Empresario,PHL
nugctj88,170,35,167,Empresario,CUB
faoq,188,30,31,Empresario,ISL
qjfj36,127,19,109,Estudiante,NER
snvnyadw08,158,31,109,Empresario,ERI
mhddnht,138,32,44,Empresario,BRN
knozn,187,36,131,Empresario,COL
qbkibf,174,25,103,Empresario,SVN
hkhel,161,46,82,Estudiante,KIR
sgpebfar35,78,47,220,Empresario,GBR
asoffna99,192,18,149,Empresario,PLW
poqpib,50,27,174,Empresario,SEN
itgjft80,30,22,128,Empresario,ZAF
docvf,75,25,193,Estudiante,GHA
dqqdk46,201,37,214,Docente,SAU
dvrx,75,46,138,Empresario,LUX
sflsxgm,191,39,75,Empresario,CZE
bjjoqum,98,43,159,Empresario,BRB
slyqna,217,32,69,Empresario,LVA
lurwz04,77,39,26,Empresario,TUV
zjokvbga70,61,38,173,Docente,PRT
vvhxlo,115,37,74,Estudiante,DOM
bulascp,35,29,190,Empresario,SVN
ktubvemy65,187,33,136,Empresario,FRA
muzo,149,44,42,Empresario,PLW
bpefwaz,212,40,67,Empresario,AFG
ulbof,40,18,87,Empresario,BIH
aewvltq,127,27,205,Estudiante,PNG
toztzwao,157,46,127,Estudiante,SLV
gjvootf,83,31,129,Empresario,ISL
gbjfaznk,142,19,218,Profesional,SUR
htfaz11,168,34,98,Profesional,RWA
pyrifpd78,50,28,148,Empresario,THA
brotaqjn44,183,28,203,Estudiante,OMN
ohiezicz16,24,34,185,Empresario,MDG
jcfz,41,32,163,Empresario,TKM
ioqmsd16,26,39,95,Docente,CHL
powa58,125,17,199,Docente,NRU
zwmco86,85,38,199,Profesional,COK
vbtwosmp35,30,39,204,Empresario,SWZ
fwppenkq38,98,28,113,Empresario,LUX
iqvjdqoi71,30,31,79,Empresario,SGP
ciockd,67,28,46,Profesional,MDV
rjzaa,25,25,126,Empresario,PRK
hkgrsprb,104,19,217,Empresario,WSM
lkrlw,180,26,200,Estudiante,MEX
bavnnwni,155,47,204,Empresario,NGA
gmeckmc44,91,30,150,Estudiante,IND
ncyyyl46,85,42,65,Empresario,GTM
rujdntur27,27,29,179,Empresario,ITA
mgjbqq,150,24,140,Empresario,AUS
pmxx72,196,25,43,Empresario,FSM
raaf02,189,41,172,Profesional,NIU
ccuwez,201,37,42,Empresario,SEN
uxzia29,91,27,122,Empresario,MDV
nscgup44,85,46,175,Estudiante,ATG
uhzyvaf,209,19,201,Docente,JOR
pmajfay27,208,45,81,Profesional,CUB
rssjo,101,32,119,Profesional,SDN
bjfajk,162,43,180,Empresario,ARG
thxkymay,96,25,148,Empresario,LCA
avfwi85,107,32,163,Estudiante,MDV
svrl04,203,38,49,Empresario,OMN
mrldw,68,29,216,Estudiante,ECU
yzglj,216,35,170,Docente,BEN
kivyha,79,19,69,Estudiante,SRB
xwzgo,222,29,44,Empresario,AUS
fqavv32,51,34,219,Empresario,MCO
vxpnsgu62,94,23,87,Empresario,SVN
ualy09,165,31,176,Estudiante,ESP
yqxnkjj39,107,33,79,Estudiante,PNG
zwqqijc55,136,46,71,Empresario,JOR
spzcsv,138,30,127,Empresario,JAM
fhrcl15,75,28,80,Docente,BHR
ghmx,198,23,92,Empresario,KWT
ncmioyb64,25,36,159,Profesional,BGR
pfadtyj05,131,45,218,Empresario,BFA
ygsjrnc,141,29,203,Empresario,BHR
arpfordh,64,24,41,Estudiante,SWE
srrxrzgx,62,30,75,Empresario,PER
pjwvi28,64,44,103,Empresario,ATG
rheopqj09,70,46,103,Estudiante,BLR
oknstkzc86,28,36,194,Estudiante,HUN
vkmbis43,65,23,90,Empresario,COL
oqdmczri30,164,37,107,Empresario,TKL
wfdv29,56,25,136,Empresario,ROU
zdaorfl64,59,30,181,Empresario,SVK
fepp,37,38,36,Profesional,TLS
lmfloy,53,33,34,Empresario,COL
krvn45,213,42,175,Empresario,GMB
eopun,150,45,28,Empresario,MLT
zrsvv,214,29,105,Estudiante,SGP
oikszs06,64,19,190,Docente,ARG
gqqdh69,176,23,44,Empresario,SGP
wimithxi,85,24,102,Estudiante,UGA
cjogitpr,211,18,151,Empresario,ITA
prslg34,155,32,185,Empresario,SRB
npegc07,166,45,113,Empresario,DOM
nfxqb73,211,46,25,Estudiante,FRA
eupknh40,191,22,47,Estudiante,VNM
wnrx05,64,46,132,Empresario,LVA
vzdqsvz,97,46,91,Empresario,KGZ
lugvnyy,129,47,120,Estudiante,DNK
xkiz07,123,45,165,Empresario,THA
zncgmro73,56,24,178,Empresario,HRV
ytii20,116,25,63,Empresario,SGP
msqp,178,19,165,Empresario,USA
vsiojiqi21,127,43,221,Empresario,PAN
cgfehe02,180,38,95,Empresario,GNB
mizt,78,34,66,Docente,LTU
imfqpqum07,214,34,219,Empresario,BHR
qoeslx,64,21,50,Empresario,FSM
lilhhfe89,148,27,135,Empresario,LAO
tckf55,88,43,80,Empresario,KNA
yphkd89,34,23,63,Estudiante,CHE
mqcru,193,30,163,Docente,ZAF
nbiteq84,97,26,111,Empresario,FRA
blhh,172,24,98,Empresario,GBR
zjgvbxvs13,147,37,195,Profesional,ZWE
otcq64,59,40,89,Docente,QAT
hajkyvaq,84,31,118,Empresario,AND
nscrxqbm14,119,47,124,Empresario,TON
gigl18,143,30,137,Estudiante,LTU
wussac05,99,23,118,Empresario,LBY
ivxyvc25,162,28,175,Empresario,THA
svgp,44,37,142,Profesional,TON
hvxdiaw68,171,33,54,Estudiante,BHR
ktiubuq,111,28,158,Empresario,VNM
ygsjqx27,78,18,176,Docente,BHS
xwkc25,50,29,28,Empresario,GNQ
jwurir,148,39,103,Empresario,LAO
pjjoclwj,87,21,42,Empresario,MOZ
