usuario,info_producto
ueipd,19
aprtbqy,80
beracz,51
gudhnqp42,53
qcovms25,84
cqjdszd62,25
ekuaq,14
tmbac,78
ulhu19,64
ljxz,81
lvloxsfi01,92
wphu97,3
gaqp,38
cnerhroc,12
kgjr,37
fwpi,47
lldzpmau64,63
egasizny50,62
qziuhkl25,14
cjqrizh,23
wyoyg,31
dicncyye,3
ndug69,92
ynxasohr91,22
upzguobi,36
yibpbd,85
ntkxxp35,58
mlutv,94
wussac05,17
tpdhcwzr75,81
nojms,70
wyoyg,9
ajpzd,56
jmbj,32
hgqmjs05,39
flgymm50,55
gktkd38,86
yufveolf,93
yjzeklpm,1
sqtz,89
ojxyvkpd,42
rexxry50,64
oucwkx,0
hajkyvaq,72
seuvojw18,0
nxcyrif46,54
yepn46,56
bzzs,62
vwvjpimj,83
egbaik,65
bjfajk,85
aamfr,44
egjckgeo68,87
powa58,23
kwzm,26
vmkzurtm88,84
fxrimznp72,60
xpxrg,41
tydnckdg04,96
uthlw,22
apklkrfu,10
kxei82,57
rvfyzrgb26,62
fyxqsj,54
pnocdc,90
vydplry13,96
vlujjm,85
pacswz21,98
aeqxxz06,66
vzkky41,31
mahwxnep,77
vzkky41,61
lpwyrr43,33
pkcbxsu,70
haoiyodz85,37
jntc,96
soxfknik,11
kyjkl,60
mweyhlso,48
fadw80,50
wwtebj13,7
hzdru51,58
cyvvffz,11
bqbe,65
hnfnr,39
qsazb63,75
eqais,31
elkxsax28,71
xgpoujmv,94
vzdqsvz,91
mlkoja,54
zqmnguh,30
npayln95,19
nrqwhlhz26,25
xparwege,85
cyafuuvd,37
sfsueja,15
orak62,40
fsgbof07,38
pidgnbhr,61
vvhxbxm,29
humjodri63,45
dabevg,85
chaikzz72,78
euwjfp,53
ffkusr54,63
yfbvys17,38
gigl18,94
vzycspnd74,58
ynibne08,96
mtnxgsq,63
wlfxks,64
ybft82,84
dbsli,37
mddaqgvn31,52
gmdkmg04,2
destvz06,93
gpjfn30,90
